[ 2025-06-16 19:53:23,006 ] 26 root - INFO - Initiate the data ingestion
[ 2025-06-16 19:53:27,590 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-16 19:53:27,590 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-16 19:53:27,590 ] 76 root - INFO - Exporting train and test file path.
[ 2025-06-16 19:53:27,640 ] 85 root - INFO - Exported train and test file path.
[ 2025-06-16 19:53:27,640 ] 28 root - INFO - Data Initiation Completed
[ 2025-06-16 19:53:27,640 ] 32 root - INFO - Initiate the data Validation
[ 2025-06-16 19:53:27,671 ] 39 root - INFO - Required number of columns:2
[ 2025-06-16 19:53:27,671 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-16 19:53:27,673 ] 39 root - INFO - Required number of columns:2
[ 2025-06-16 19:53:27,673 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-16 19:53:27,802 ] 34 root - INFO - data Validation Completed
